date,total_return_index,close,vix,rf_annual,div_yield
1964-08-05,,82.089996,,0.035000,0.029512
1964-08-06,,81.339996,,0.034900,0.029512
1964-08-07,,81.860001,,0.034900,0.029512
1964-08-10,,81.779999,,0.035000,0.029512
1964-08-11,,81.760002,,0.035000,0.029512
1964-08-12,,82.169998,,0.035100,0.029512
1964-08-13,,82.410004,,0.035100,0.029512
1964-08-14,,82.349998,,0.035100,0.029512
1964-08-17,,82.360001,,0.035000,0.029512
1964-08-18,,82.400002,,0.034900,0.029512
1964-08-19,,82.320000,,0.035000,0.029512
1964-08-20,,81.940002,,0.035000,0.029512
1964-08-21,,82.070000,,0.035000,0.029512
1964-08-24,,81.910004,,0.035000,0.029512
1964-08-25,,81.440002,,0.035000,0.029512
1964-08-26,,81.320000,,0.035100,0.029512
1964-08-27,,81.699997,,0.034900,0.029512
1964-08-28,,81.989998,,0.034900,0.029512
1964-08-31,,81.830002,,0.035000,0.029512
1964-09-01,,82.180000,,0.035000,0.029253
1964-09-02,,82.309998,,0.035100,0.029253
1964-09-03,,82.559998,,0.035000,0.029253
1964-09-04,,82.760002,,0.035100,0.029253
1964-09-08,,82.870003,,0.035100,0.029253
1964-09-09,,83.050003,,0.035300,0.029253
1964-09-10,,83.099998,,0.035200,0.029253
1964-09-11,,83.449997,,0.035200,0.029253
1964-09-14,,83.220001,,0.035300,0.029253
1964-09-15,,83.000000,,0.035400,0.029253
1964-09-16,,83.239998,,0.035500,0.029253
1964-09-17,,83.790001,,0.035400,0.029253
1964-09-18,,83.480003,,0.035400,0.029253
1964-09-21,,83.860001,,0.035400,0.029253
1964-09-22,,83.889999,,0.035400,0.029253
1964-09-23,,83.910004,,0.035500,0.029253
1964-09-24,,84.000000,,0.035500,0.029253
1964-09-25,,84.209999,,0.035400,0.029253
1964-09-28,,84.279999,,0.035500,0.029253
1964-09-29,,84.239998,,0.035500,0.029253
1964-09-30,,84.180000,,0.035500,0.029253
1964-10-01,,84.080002,,0.035500,0.028992
1964-10-02,,84.360001,,0.035600,0.028992
1964-10-05,,84.739998,,0.035600,0.028992
1964-10-06,,84.790001,,0.035600,0.028992
1964-10-07,,84.800003,,0.035800,0.028992
1964-10-08,,85.040001,,0.035800,0.028992
1964-10-09,,85.220001,,0.035800,0.028992
1964-10-12,,85.239998,,0.035700,0.028992
1964-10-13,,84.959999,,0.035700,0.028992
1964-10-14,,84.790001,,0.035900,0.028992
1964-10-15,,84.250000,,0.035900,0.028992
1964-10-16,,84.830002,,0.035900,0.028992
1964-10-19,,84.930000,,0.035900,0.028992
1964-10-20,,85.180000,,0.035900,0.028992
1964-10-21,,85.099998,,0.035900,0.028992
1964-10-22,,84.940002,,0.035800,0.028992
1964-10-23,,85.139999,,0.035700,0.028992
1964-10-26,,85.000000,,0.035600,0.028992
1964-10-27,,85.000000,,0.035600,0.028992
1964-10-28,,84.690002,,0.035600,0.028992
1964-10-29,,84.730003,,0.035500,0.028992
1964-10-30,,84.860001,,0.035500,0.028992
1964-11-02,,85.180000,,0.035500,0.029026
1964-11-04,,85.139999,,0.035700,0.029026
1964-11-05,,85.160004,,0.035700,0.029026
1964-11-06,,85.230003,,0.035700,0.029026
1964-11-09,,85.190002,,0.035700,0.029026
1964-11-10,,84.839996,,0.035600,0.029026
1964-11-11,,85.080002,,0.036400,0.029026
1964-11-12,,85.190002,,0.035800,0.029026
1964-11-13,,85.209999,,0.035900,0.029026
1964-11-16,,85.650002,,0.036000,0.029026
1964-11-17,,86.029999,,0.036000,0.029026
1964-11-18,,86.220001,,0.036100,0.029026
1964-11-19,,86.180000,,0.036100,0.029026
1964-11-20,,86.279999,,0.036200,0.029026
1964-11-23,,86.000000,,0.037300,0.029026
1964-11-24,,85.730003,,0.037800,0.029026
